user_id,variant,primary_scenario,retention_7d
user_0,control,general,1
user_1,treatment,general,1
user_2,control,general,1
user_3,control,general,1
user_4,control,general,0
user_5,treatment,coding,1
user_6,control,general,1
user_7,control,general,0
user_8,control,coding,0
user_9,treatment,coding,1
user_10,control,coding,1
user_11,control,coding,0
user_12,control,coding,1
user_13,control,coding,0
user_14,treatment,general,0
user_15,control,general,1
user_16,treatment,writing,1
user_17,treatment,general,1
user_18,treatment,general,0
user_19,control,coding,1
user_20,treatment,coding,1
user_21,control,general,0
user_22,treatment,writing,0
user_23,treatment,coding,1
user_24,treatment,general,0
user_25,treatment,general,1
user_26,treatment,writing,0
user_27,treatment,writing,1
user_28,treatment,coding,1
user_29,treatment,writing,0
user_30,control,general,0
user_31,control,general,1
user_32,treatment,writing,1
user_33,treatment,writing,1
user_34,treatment,writing,0
user_35,control,writing,1
user_36,treatment,coding,1
user_37,control,writing,0
user_38,control,coding,0
user_39,control,general,1
user_40,control,writing,0
user_41,control,coding,1
user_42,treatment,writing,0
user_43,treatment,general,1
user_44,treatment,general,0
user_45,treatment,general,1
user_46,treatment,writing,1
user_47,control,writing,0
user_48,treatment,coding,0
user_49,treatment,general,0
user_50,control,writing,0
user_51,treatment,general,1
user_52,control,general,1
user_53,treatment,coding,0
user_54,control,coding,0
user_55,treatment,coding,1
user_56,treatment,coding,0
user_57,control,general,1
user_58,control,coding,0
user_59,control,coding,0
user_60,control,coding,0
user_61,control,coding,1
user_62,control,general,0
user_63,control,coding,1
user_64,control,general,0
user_65,treatment,writing,0
user_66,treatment,general,0
user_67,control,general,1
user_68,treatment,coding,0
user_69,treatment,writing,0
user_70,treatment,writing,1
user_71,treatment,writing,1
user_72,control,writing,0
user_73,treatment,general,1
user_74,control,writing,0
user_75,treatment,general,1
user_76,treatment,general,0
user_77,treatment,general,1
user_78,control,writing,1
user_79,treatment,coding,1
user_80,control,coding,1
user_81,treatment,writing,0
user_82,control,coding,0
user_83,treatment,coding,1
user_84,control,general,0
user_85,control,general,1
user_86,treatment,writing,0
user_87,control,writing,1
user_88,treatment,coding,1
user_89,treatment,general,1
user_90,treatment,writing,0
user_91,treatment,writing,1
user_92,treatment,writing,1
user_93,treatment,writing,0
user_94,treatment,writing,0
user_95,treatment,writing,0
user_96,treatment,coding,0
user_97,treatment,general,0
user_98,treatment,general,1
user_99,control,writing,1
user_100,control,general,0
user_101,treatment,general,0
user_102,treatment,general,1
user_103,treatment,writing,1
user_104,treatment,writing,0
user_105,treatment,general,0
user_106,treatment,general,0
user_107,treatment,writing,1
user_108,treatment,coding,1
user_109,control,general,1
user_110,treatment,coding,1
user_111,control,general,0
user_112,treatment,coding,1
user_113,treatment,coding,0
user_114,control,coding,0
user_115,treatment,writing,1
user_116,control,coding,1
user_117,treatment,coding,1
user_118,treatment,coding,1
user_119,control,general,0
user_120,treatment,coding,1
user_121,control,general,0
user_122,treatment,coding,1
user_123,control,coding,1
user_124,control,writing,1
user_125,treatment,general,1
user_126,treatment,coding,1
user_127,control,general,0
user_128,treatment,general,0
user_129,treatment,writing,1
user_130,treatment,writing,0
user_131,control,writing,0
user_132,control,writing,1
user_133,control,writing,1
user_134,control,writing,0
user_135,control,writing,1
user_136,control,writing,0
user_137,control,coding,0
user_138,control,general,1
user_139,control,writing,1
user_140,treatment,writing,0
user_141,control,general,1
user_142,treatment,coding,1
user_143,treatment,general,0
user_144,treatment,general,1
user_145,control,writing,1
user_146,control,general,1
user_147,control,general,0
user_148,control,writing,1
user_149,treatment,writing,1
user_150,control,writing,1
user_151,control,writing,0
user_152,control,general,1
user_153,control,general,1
user_154,control,coding,0
user_155,treatment,coding,0
user_156,control,general,0
user_157,treatment,coding,1
user_158,control,general,1
user_159,treatment,coding,1
user_160,control,writing,1
user_161,control,coding,0
user_162,treatment,writing,1
user_163,treatment,writing,0
user_164,treatment,writing,0
user_165,control,writing,0
user_166,treatment,coding,1
user_167,control,general,1
user_168,control,writing,1
user_169,treatment,coding,0
user_170,treatment,writing,0
user_171,control,coding,1
user_172,control,coding,0
user_173,treatment,coding,1
user_174,treatment,general,1
user_175,treatment,coding,0
user_176,control,coding,1
user_177,control,general,1
user_178,control,general,0
user_179,control,coding,0
user_180,control,general,1
user_181,control,writing,0
user_182,treatment,writing,1
user_183,control,general,1
user_184,control,general,0
user_185,control,coding,1
user_186,treatment,general,1
user_187,control,coding,0
user_188,control,writing,1
user_189,treatment,general,1
user_190,control,coding,1
user_191,control,coding,1
user_192,control,writing,1
user_193,control,general,1
user_194,control,writing,0
user_195,treatment,coding,0
user_196,treatment,coding,1
user_197,treatment,general,0
user_198,control,coding,1
user_199,control,general,0
user_200,control,writing,0
user_201,treatment,general,0
user_202,control,general,1
user_203,control,coding,0
user_204,treatment,coding,1
